stop_lat,stop_name,stop_id,the_geom,stop_lon
-35.472809,Knoke Av after Harry Hopman Cct,1201,POINT (149.0892790002263 -35.472808999333076),149.089279
-35.474079,Pockett Av after Bellchambers Cr,1202,POINT (149.0931700002294 -35.47407899933285),149.09317
-35.471703,Pockett Av after Wilson Cr,1203,POINT (149.0969240002325 -35.471702999333004),149.096924
-35.469475,Pockett Av after 2nd Ironbark Cr,1204,POINT (149.0976410002331 -35.46947499933323),149.097641
-35.467556,Pockett Av after Perrin Cct,1205,POINT (149.0953670002312 -35.46755599933348),149.095367
-35.465279,Pockett Av after Box Hill Av,1206,POINT (149.09410100023015 -35.465278999333755),149.094101
-35.463821,Tom Roberts Av before Box Hill,1207,POINT (149.0964970002321 -35.46382099933385),149.096497
-35.465324,Tom Roberts Av opp Conder PS,1208,POINT (149.09840400023364 -35.46532399933363),149.098404
-35.466305,Tom Roberts Av Jane Sutherland St,1210,POINT (149.10560600023965 -35.46630499933337),149.105606
-35.462227,Tom Roberts Av after Chartersville Av,1211,POINT (149.10519400023932 -35.46222699933379),149.105194
-35.461224,Tom Roberts Av 2nd after Box Hill Av,1212,POINT (149.10220300023678 -35.46122399933398),149.102203
-35.460419,Tom Roberts Av after Box Hill Av,1213,POINT (149.09925800023436 -35.460418999334124),149.099258
-35.466404,Tom Roberts Av after Beaumaris St,1214,POINT (149.10041800023532 -35.46640399933347),149.100418
-35.456169,Box Hill Av opp Lanyon Marketplace,1215,POINT (149.09249900022877 -35.45616899933475),149.092499
-35.457714,Box Hill Av opp St. Clare of Assisi Primary,1216,POINT (149.09736600023277 -35.45771399933445),149.097366
-35.456352,Box Hill Av Lanyon Marketplace,1217,POINT (149.09246800022873 -35.456351999334714),149.092468
-35.457981,Box Hill Av St. Clare of Assisi PS,1218,POINT (149.09745800023282 -35.45798099933441),149.097458
-35.460468,Tom Roberts Av before Box Hill Av,1219,POINT (149.09901400023415 -35.460467999334135),149.099014
-35.461296,Tom Roberts Av after John Russell Cct,1220,POINT (149.10180700023648 -35.46129599933397),149.101807
-35.4622,Tom Roberts Av before Lethbridge St,1221,POINT (149.10498000023912 -35.4621999993338),149.10498
