,Quarter,Q1,,,,,,,,,,,,,Q2,,,,,,,,,,,,,Q3,,,,,,,,,,,,,Q4,,,,,,,,,,,,
,Source,4th April 2016,,,,,,,,,,,,,4th April 2016,,,,,,,,,,,,,4th April 2016,,,,,,,,,,,,,4th April 2016,,,,,,,,,,,,
,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury,Homicide,Assault,Sexual assault,Offences against a person,Burglary,Robbery,Motor vehicle theft,Property damage,Other offences,Traffic Infringement Notices,Theft (excluding Motor Vehicles),Road fatality,Road collision with injury
,Symonston,0,2,0,0,1,0,0,1,10,9,4,0,2,0,0,2,0,1,0,2,2,14,11,5,0,2,0,2,0,0,4,0,3,1,20,25,2,0,2,0,2,0,1,1,0,2,5,11,9,6,0,4
,Yarralumla,0,1,0,1,2,0,3,11,31,24,22,0,3,0,1,0,0,4,0,0,21,19,60,23,0,4,0,1,0,0,2,0,2,13,9,46,15,0,4,0,3,0,0,3,0,1,14,11,31,20,0,2
Weston Creek,,0,22,2,0,47,2,12,69,91,76,141,0,11,0,27,4,0,31,0,14,61,111,81,132,0,6,0,44,23,0,31,0,14,52,110,98,133,0,3,0,36,8,2,44,0,20,70,84,94,181,0,8
,Chapman,0,0,0,0,5,0,2,4,4,4,19,0,0,0,0,0,0,3,0,0,2,10,6,13,0,0,0,1,0,0,5,0,1,5,5,2,9,0,0,0,1,0,0,1,0,1,3,4,3,12,0,0
,Duffy,0,6,0,0,3,0,2,14,15,6,22,0,3,0,9,1,0,3,0,2,8,8,5,13,0,1,0,4,0,0,6,0,1,10,26,8,24,0,0,0,2,1,0,7,0,3,12,11,5,24,0,0
,Fisher,0,4,1,0,4,0,1,8,13,5,10,0,1,0,2,0,0,4,0,1,3,13,9,4,0,1,0,0,0,0,2,0,4,2,13,7,7,0,0,0,6,1,0,1,0,1,2,12,7,8,0,1
,Holder,0,1,0,0,4,0,1,3,5,3,13,0,0,0,1,0,0,3,0,1,7,2,5,11,0,0,0,4,0,0,7,0,0,10,4,6,17,0,0,0,4,1,0,16,0,1,9,4,8,26,0,2
,Rivett,0,4,0,0,8,0,2,14,8,1,21,0,0,0,6,1,0,6,0,4,4,11,4,9,0,1,0,1,0,0,5,0,1,8,8,4,12,0,0,0,7,0,1,5,0,4,10,18,3,48,0,0
,Stirling,0,1,0,0,6,0,2,5,5,5,9,0,0,0,0,0,0,3,0,4,3,3,3,14,0,0,0,24,22,0,2,0,1,0,11,12,10,0,1,0,2,0,0,2,0,2,4,1,3,7,0,0
,Stromlo,0,0,0,0,0,0,0,1,5,10,2,0,2,0,0,1,0,1,0,0,4,3,11,2,0,0,0,1,0,0,1,0,1,3,5,22,5,0,0,0,0,0,0,1,0,0,6,4,9,5,0,0
